ID,date,Country,Region,District,Latitude,Longitude,Species,Sequencing_date
RB001,01/09/2019,NTz,Arusha,Arusha urban,-3.386925,36.682995,Domestic dog,13-Nov-19
RB004,14/04/2021,NTz,Arusha,Arusha urban,-3.386925,36.682995,Domestic Dog,14-Apr-21
AR02,21/12/2021,NTz,Arusha,Arusha urban,-3.386925,36.682995,Domestic dog,10-Mar-22
AR03,10/03/2022,NTz,Arusha,Arusha urban,-3.386925,36.682995,Domestic Dog,10-Mar-22
Z0826752,11/07/2018,Kenya,Nairobi,Kibra,-1.311025535,36.80389662,Bovine,07-Aug-19
2010818843,12/03/2013,Kenya,Nairobi,Starehe,-1.283153766,36.82423379,Human,07-Aug-19
MR007,04/05/2021,NTz,Morogoro ,Kilosa,-6.834274,36.991712,Domestic dog,10-Mar-22
Z0829333,03/06/2022,Kenya,Kilome ,Mukaa,-1.8189811,37.3369929,Bovine,14-Sep-22
HB002,16/09/2019,NTz,Kilimanjaro,Moshi,-2.97557,37.3581,Human,21-Apr-21
HS001,16/09/2019,NTz,Kilimanjaro,Moshi,-2.97557,37.3581,Human,21-Apr-21
Z0829313,22/08/2022,Kenya,Kaiti,Kikoko,-1.798023,37.3693556,Domestic dog,14-Sep-22
Z0829335,16/05/2022,Kenya,Makueni,Kavuthu,-2.0027478,37.4159767,Domestic dog,14-Sep-22
Z0083214,02/07/2021,Kenya,Makueni,Mbooni East,-1.667077,37.4615,Caprine,06-Dec-21
Z0083231,09/08/2021,Kenya,Makueni,Mbooni East,-1.667077,37.4615,Domestic dog,08-Dec-21
Z0083222,19/08/2021,Kenya,Makueni,Mbooni,-1.667077,37.4615,Caprine,08-Dec-21
Z0829323,05/07/2022,Kenya,Makueni,Kyeemundu,-1.9545825,37.477391,Caprine,14-Sep-22
Z0829340,20/04/2022,Kenya,Kibwezi West,Emali,-2.0574213,37.5267921,Domestic dog,14-Sep-22
2011100075,13/07/2018,Kenya,Makueni,Makueni,-1.799008071,37.59439993,Bovine,07-Aug-19
Z0083186,06/08/2018,Kenya,Makueni,Makueni ,-1.799008071,37.59439993,Bovine,07-Aug-19
02196160414A,07/08/2019,Kenya,Makueni,Makueni,-1.799008071,37.59439993,Domestic dog,07-Aug-19
Z0083197,12/03/2021,Kenya ,Makueni,Mbooni,-1.799008071,37.59439993,Domestic dog,06-Dec-21
Z0083198,30/03/2021,Kenya,Makueni,Mbooni,-1.799008071,37.59439993,Domestic dog,06-Dec-21
Z0083205,13/04/2021,Kenya ,Makueni,Makueni,-1.799008071,37.59439993,Domestic dog,06-Dec-21
Z0083200,26/07/2021,Kenya,Makueni,Makueni,-1.799008071,37.59439993,Domestic dog,08-Dec-21
Z0083220,05/08/2021,Kenya,Makueni,Makueni,-1.799008071,37.59439993,Domestic dog,08-Dec-21
Z0083218,10/08/2021,Kenya,Makueni,Makueni,-1.799008071,37.59439993,Domestic dog,08-Dec-21
Z0083219,10/08/2021,Kenya,Makueni,Makueni,-1.799008071,37.59439993,Feline,06-Dec-21
Z0083221,11/08/2021,Kenya,Makueni,Makueni,-1.799008071,37.59439993,Domestic dog,08-Dec-21
Z0083201,26/08/2021,Kenya,Makueni,Makueni,-1.799008071,37.59439993,Caprine,06-Dec-21
Z0083228,01/09/2021,Kenya,Makueni,Makueni,-1.799008071,37.59439993,Domestic dog,08-Dec-21
Z0083229,01/09/2021,Kenya ,Makueni,Makueni,-1.799008071,37.59439993,Domestic dog,06-Dec-21
Z0083223,02/09/2021,Kenya ,Makueni,Makueni,-1.799008071,37.59439993,Caprine,06-Dec-21
Z0083224,03/09/2021,Kenya ,Makueni,Makueni,-1.799008071,37.59439993,Domestic dog,06-Dec-21
Z0083239,13/09/2021,Kenya,Makueni,Makueni,-1.799008071,37.59439993,Bovine,06-Dec-21
Z0083225,27/09/2021,Kenya,Makueni,Makueni,-1.799008071,37.59439993,Domestic dog,06-Dec-21
Z0829341,23/04/2022,Kenya,Makueni,Muvau,-1.8823492,37.6005636,Domestic dog,14-Sep-22
Z0083192,17/12/2020,Kenya,Makueni,makueni,-1.786495,37.631107,Domestic dog,08-Dec-21
Z0083215,21/05/2021,Kenya,Makueni,makueni,-1.786495,37.631107,Domestic dog,08-Dec-21
Z0083236,13/10/2021,Kenya,Makueni,makueni,-1.786495,37.631107,Domestic dog,08-Dec-21
Z0083203,18/10/2021,Kenya,Makueni,makueni,-1.786495,37.631107,Domestic dog,08-Dec-21
Z0083202,19/10/2021,Kenya,Makueni,makueni,-1.786495,37.631107,Domestic Dog,08-Dec-21
Z0083245,05/11/2021,Kenya,Makueni,makueni,-1.786495,37.631107,Domestic dog,08-Dec-21
Z0083234,15/11/2021,Kenya,Makueni,makueni,-1.786495,37.631107,Domestic Dog,08-Dec-21
Z0083235,29/11/2021,Kenya,Makueni,makueni,-1.786495,37.631107,Domestic dog,08-Dec-21
Z0083252,29/12/2021,Kenya,Makueni,makueni,-1.786495,37.631107,Goat,31-Jan-22
Z0083253,30/12/2021,Kenya,Makueni,makueni,-1.786495,37.631107,Domestic dog,31-Jan-22
Z0083263,25/02/2022,Kenya,Makueni,Muvau,-1.904419027,37.64380591,Domestic dog,14-Sep-22
Z0083261,01/03/2022,Kenya,Makueni,Muvau,-1.8516625,37.6547936,Caprine,14-Sep-22
MR002,11/03/2021,NTz,Morogoro ,Morogoro urban ,-6.830373,37.670589,Domestic dog,10-Mar-22
